Claim ID,Time slice,Risk,Заявление,Источник,Проверка,Результат,Вердикт
C-014,CURRENT,HIGH,"Inference concurrency bounded per process","README.md; inference.py","Queue timeout и cancellation capacity tests","Semaphore ограничивает admission и не освобождается до завершения worker thread",SUPPORTED
C-015,CURRENT,CRITICAL,"Model id2label проверяется fail-closed","README.md; inference.py","Exact/inverted label tests","Inverted labels и non-contiguous/size mismatch отклоняются",SUPPORTED
C-016,CURRENT,HIGH,"Ошибки имеют централизованный безопасный envelope","README.md; errors.py","404/422/internal/image error tests","Stable code/detail/request_id; internal path не возвращается",SUPPORTED
C-017,CURRENT,MEDIUM,"X-Request-ID валидируется как log-safe","README.md; middleware.py","Valid/unsafe/control-character tests","Разрешён bounded ASCII pattern; unsafe заменяется UUID",SUPPORTED
C-018,CURRENT,HIGH,"Реализованы security headers","README.md; middleware.py","Response header tests","Основные headers есть; это не доказывает security-hardening всей системы",PARTIALLY_SUPPORTED
C-019,CURRENT,LOW,"UI responsive","README.md; styles.css","Static CSS inspection","Responsive rules есть; реальная browser/320px visual проверка не выполнена",PARTIALLY_SUPPORTED
C-020,CURRENT,MEDIUM,"Docker image multi-stage и non-root","README.md; Dockerfile","Static Dockerfile inspection","Структура подтверждена; Docker build/runtime NOT EXECUTED",PARTIALLY_SUPPORTED
C-021,CURRENT,MEDIUM,"Ruff, Mypy, Pytest и coverage gate работают","README.md; CI; pyproject.toml","Локальный и два clean-room quality gates","43 tests; coverage 87.96%; threshold 80%",SUPPORTED
C-022,CURRENT,LOW,"UI поддерживает drag-drop и отмену","README.md; app.js","Static assertions и JS syntax","Код реализован; browser interaction test не выполнен",PARTIALLY_SUPPORTED
C-023,CURRENT,CRITICAL,"UI выводит результат реальной модели","README.md; app.js","Artifact-backed end-to-end test","Approved model отсутствует",NOT_TESTABLE_WITH_CURRENT_EVIDENCE
C-024,CURRENT,CRITICAL,"Confidence явно является некалиброванным softmax score","README.md; schemas; inference.py","Schema/OpenAPI/inference unit tests","calibrated=false; clinical probability не заявляется",SUPPORTED
